condition_id,market_start,market_end,outcome
0xsmoke0000,1770000000,1770000300,Down
0xsmoke0001,1770000300,1770000600,Down
0xsmoke0002,1770000600,1770000900,Down
0xsmoke0003,1770000900,1770001200,Up
0xsmoke0004,1770001200,1770001500,Up
0xsmoke0005,1770001500,1770001800,Down
0xsmoke0006,1770001800,1770002100,Up
0xsmoke0007,1770002100,1770002400,Up
0xsmoke0008,1770002400,1770002700,Up
0xsmoke0009,1770002700,1770003000,Up
0xsmoke0010,1770003000,1770003300,Up
0xsmoke0011,1770003300,1770003600,Up
0xsmoke0012,1770003600,1770003900,Up
0xsmoke0013,1770003900,1770004200,Up
0xsmoke0014,1770004200,1770004500,Down
0xsmoke0015,1770004500,1770004800,Down
0xsmoke0016,1770004800,1770005100,Down
0xsmoke0017,1770005100,1770005400,Down
0xsmoke0018,1770005400,1770005700,Down
0xsmoke0019,1770005700,1770006000,Down
0xsmoke0020,1770006000,1770006300,Down
0xsmoke0021,1770006300,1770006600,Down
0xsmoke0022,1770006600,1770006900,Down
0xsmoke0023,1770006900,1770007200,Down
0xsmoke0024,1770086400,1770086700,Down
0xsmoke0025,1770086700,1770087000,Down
0xsmoke0026,1770087000,1770087300,Up
0xsmoke0027,1770087300,1770087600,Down
0xsmoke0028,1770087600,1770087900,Down
0xsmoke0029,1770087900,1770088200,Down
0xsmoke0030,1770088200,1770088500,Up
0xsmoke0031,1770088500,1770088800,Up
0xsmoke0032,1770088800,1770089100,Up
0xsmoke0033,1770089100,1770089400,Up
0xsmoke0034,1770089400,1770089700,Up
0xsmoke0035,1770089700,1770090000,Up
0xsmoke0036,1770090000,1770090300,Up
0xsmoke0037,1770090300,1770090600,Up
0xsmoke0038,1770090600,1770090900,Down
0xsmoke0039,1770090900,1770091200,Up
0xsmoke0040,1770091200,1770091500,Up
0xsmoke0041,1770091500,1770091800,Down
0xsmoke0042,1770091800,1770092100,Down
0xsmoke0043,1770092100,1770092400,Down
0xsmoke0044,1770092400,1770092700,Down
0xsmoke0045,1770092700,1770093000,Down
0xsmoke0046,1770093000,1770093300,Up
0xsmoke0047,1770093300,1770093600,Down
