condition_id,t,bu,au,bd,ad,su,sd,sau,sad,du,dd
0xsmoke0000,1770000005,0.49,0.51,0.49,0.51,442.1,212.6,319.2,76.7,2244.3,1953.7
0xsmoke0000,1770000010,0.48,0.5,0.5,0.52,417.4,220.8,490.4,315.5,3222.8,3371.0
0xsmoke0000,1770000015,0.46,0.48,0.52,0.54,117.9,248.1,157.8,231.1,935.2,4855.2
0xsmoke0000,1770000020,0.43,0.45,0.55,0.57,352.3,185.2,443.3,348.0,1092.3,4302.8
0xsmoke0000,1770000025,0.5,0.52,0.48,0.5,456.8,306.4,115.5,136.6,4675.6,2985.5
0xsmoke0000,1770000030,0.48,0.5,0.5,0.52,447.8,338.7,306.4,219.3,2349.3,1577.7
0xsmoke0000,1770000035,0.48,0.5,0.5,0.52,444.3,260.5,296.4,195.0,3881.0,613.4
0xsmoke0000,1770000040,0.41,0.43,0.57,0.59,63.7,105.3,485.2,346.0,2427.0,2856.8
0xsmoke0000,1770000045,0.53,0.55,0.45,0.47,204.9,315.6,357.7,209.9,2835.9,3943.6
0xsmoke0000,1770000050,0.47,0.49,0.51,0.53,118.0,470.0,52.3,388.8,4147.4,1115.4
0xsmoke0000,1770000055,0.41,0.43,0.57,0.59,416.9,56.4,332.8,406.9,2808.5,3766.3
0xsmoke0000,1770000060,0.39,0.41,0.59,0.61,139.3,213.4,130.7,205.7,4766.6,3080.0
0xsmoke0000,1770000065,0.45,0.47,0.53,0.55,172.2,478.4,250.0,491.2,2819.9,2845.2
0xsmoke0000,1770000070,0.41,0.43,0.57,0.59,384.2,311.3,242.0,445.2,2352.4,4652.4
0xsmoke0000,1770000075,0.37,0.39,0.61,0.63,243.5,283.8,477.9,162.9,4127.2,3544.1
0xsmoke0000,1770000080,0.39,0.41,0.59,0.61,333.3,487.2,199.7,229.2,1413.1,728.2
0xsmoke0000,1770000085,0.46,0.48,0.52,0.54,462.0,428.1,100.6,321.7,2656.4,3176.1
0xsmoke0000,1770000090,0.38,0.4,0.6,0.62,188.0,482.6,259.6,332.6,3358.5,1327.5
0xsmoke0000,1770000095,0.4,0.42,0.58,0.6,235.2,393.8,416.8,378.5,1009.4,4610.1
0xsmoke0000,1770000100,0.39,0.41,0.59,0.61,445.0,285.5,462.0,71.0,636.3,591.0
0xsmoke0000,1770000105,0.38,0.4,0.6,0.62,161.9,134.4,305.2,67.5,3156.7,1247.1
